NAMING_SYSTEM_CODE,NAMING_SYSTEM_NAME,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1024,Iraq alternative identifier,An alternative name used in Iraq.,"Survey Department, Ministry of Water Resources (MoWR).",OGP,3/30/2010,2009.003 2009.102,FALSE
1025,Germany Brandenburg alternative identifier,An alternative name used by the state of Brandenburg.,OGP,OGP,3/22/2009,2009.014,FALSE
1026,Guam alias or abbreviation,Name or abbreviation used in Guam.,OGP,OGP,6/24/2009,2009.044,FALSE
1027,Germany Schleswig-Holstein alternative identifier,An alternative name used in the state of Schleswig-Holstein.,OGP,OGP,11/17/2009,2009.071,FALSE
1028,Mexico alternative identifier,,,OGP,11/24/2009,2009.087,FALSE
1029,EU INSPIRE identifier,"Identifiers defined in EU INSPIRE specification for CRS, 2009-06-29",OGP,OGP,2/19/2010,2010.003,FALSE
1031,Petrobras alternative identifier,Identifier used in Brazil by Petrobras,OGP,OGP,3/25/2010,2010.039,FALSE
7300,EPSG alternative spelling,An alternative spelling of the EPSG name; assigned by EPSG.,OGP,OGP,5/7/2000,,FALSE
7301,EPSG alias,An alternative name assigned by EPSG.,OGP,OGP,5/7/2000,,FALSE
7302,EPSG abbreviation,An abbreviation assigned by EPSG.,OGP,OGP,5/7/2000,,FALSE
7303,User name,An alternative name assigned by user; not populated by EPSG.,(User to insert),OGP,5/7/2000,,FALSE
7304,User alias,A secondary alternative name assigned by user; not populated by EPSG.,(User to insert),OGP,5/7/2000,,FALSE
7305,User abbreviation,An abbreviation assigned by user; not populated by EPSG.,(User to insert),OGP,5/7/2000,,FALSE
7306,POSC acronym,An abbreviation assigned by the Petrotechnical Open Software Corporation (POSC).,POSC,OGP,5/7/2000,,FALSE
7307,EuroGeographics Identifier,A unique identifier used in the compilation of European national mapping agency data by EuroGeographics.,EuroGeographics; http://crs.ifag.de/,OGP,6/5/2001,,FALSE
7308,Croatia alternative identifier,An alternative name used in Croatia.,OGP,OGP,6/5/2001,,FALSE
7309,Slovenia alternative identifier,An alternative name used in Slovenia.,OGP,OGP,6/5/2001,,FALSE
7310,Germany alternative identifier,An alternative name used by the BfK.,OGP,OGP,6/5/2001,,FALSE
7311,Indonesia alternative identifier,An alternative name used by Bakosurtanal.,OGP,OGP,3/30/2010,2009.102,FALSE
7312,Austria alternative identifier,An alternative name used by the BEV.,OGP,OGP,9/19/2002,,FALSE
7313,US DMA/NIMA/NGA alternative identifier,An alternative name used by the US National Geospatial Intelligence Agency.,OGP,OGP,5/21/2005,,FALSE
7314,Poland alternative identifier,An alternative name used in Poland.,OGP,OGP,11/2/2005,,FALSE
7315,Netherlands alternative identifier,An alternative name used in The Netherlands.,OGP,OGP,2/3/2006,,FALSE
7316,Romania alternative identifier,An alternative name used in Romania.,OGP,OGP,9/24/2008,,FALSE
7317,EPSG alias and abbreviation,An alternative name assigned by EPSG also used as an abbreviation.,OGP,OGP,10/17/2008,,FALSE
