VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
1,6/1/1994,1.0,Version 1.0 release.  Excel v2.,,
2,6/2/1996,2.1,Version 2.1 release.  Excel v4.,3.0,
3,12/12/1996,3.0,Version 3.0 release.  Access v2.,3.1,2.1
4,4/11/1997,3.1,Version 3.1 release.,3.2,3.0
5,8/28/1997,3.2,Version 3.2 release.,4.0,3.1
6,3/24/1998,4.0,Version 4.0 release.  Access v7.,4.1,3.2
7,9/29/1998,4.1,Version 4.1 release.,4.2,4.0
8,11/25/1998,4.2,Version 4.2 release.,4.3,4.1
9,7/26/1999,4.3,Version 4.3 release.,4.4,4.2
10,11/19/1999,4.4,Version 4.4 release.,4.5 5.0,4.3
11,6/29/2000,4.5,Version 4.5 release.,5.1,4.4
12,6/29/2000,5.0,Version 5.0 release.  Access97,5.01,4.4
13,7/9/2000,5.01,Version 5.01 release.,5.1,5.0
14,12/31/2000,5.1,Version 5.1 release.,5.2,4.5  5.01
15,6/11/2001,5.2,Version 5.2 release.,5.21,5.1
16,6/26/2001,5.21,Version 5.21 release.,6.1,5.2
17,2/21/2002,5.3,Version 5.3 release. Same data as v6.1.,6.1,5.21
18,9/3/2001,6.02,v6.02 release to EPSG wg and ISO 19127 project team.,6.1,
19,2/25/2002,6.1,Version 6.1 release. ISO 19111 compliant data model and terminology.,6.2,5.21  6.02
20,7/31/2002,6.2,Version 6.2 release.,6.2.1,5.3  6.1
21,9/5/2002,6.2.1,v6.2 data; purged redundant Visual Basic code behind forms.,6.2.2,6.2
22,9/16/2002,6.2.2,v6.2 data; purged further redundant Visual Basic code behind forms.,6.3,6.2.1
23,2/26/2003,6.3,Version 6.3 release.,6.4,6.2.2
24,10/15/2003,6.4,Version 6.4 release.,6.5,6.3
25,1/13/2004,6.5,Version 6.5 release.,6.6,6.4
26,4/9/2004,6.5.1,Version 6.5.1. VBA module for creating SQL DDL updated. No other change.,6.6,6.5
27,4/27/2004,6.5.2,Version 6.5.2. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.1
28,6/29/2004,6.5.3,Version 6.5.3. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.2
29,10/23/2004,6.6,Version 6.6 release.,6.7,6.5.3
30,5/31/2005,6.7,Version 6.7 release.,6.8,6.6
31,10/10/2005,6.8,Version 6.8 release.,6.9,6.7
32,2/20/2006,6.9,Version 6.9 release.,6.10,6.8
33,4/7/2006,6.10,Version 6.10 release.,6.10.1,6.9
34,5/23/2006,6.10.1,Version 6.10.1 release. SQL script modified to amend date format. Same data as v6.10.,6.10.2,6.10
35,6/8/2006,6.10.2,Version 6.10.2 release. SQL script modified to remove unique constraint. Same data as v6.10.,6.11,6.10.1
36,8/9/2006,6.11,Version 6.11 release.,6.11.1,6.10.*
37,10/4/2006,6.11.1,Version 6.11.1 release.,6.11.2,6.11
38,10/23/2006,6.11.2,Version 6.11.2 release.,6.12,6.11.1
39,2/8/2007,6.12,Version 6.12 release.,6.13,6.11.2
40,7/16/2007,6.13,Version 6.13 release.,6.14,6.12
41,9/2/2007,6.14,Version 6.14 release.,6.15,6.13
42,4/15/2008,6.15,Version 6.15 release.,6.16,6.14
43,4/16/2008,6.16a1,working db,,6.15
44,6/27/2008,6.16,Version 6.16 release.,6.16.1,6.15
45,6/27/2008,6.16.1,Registry software upgrade v1.1.2.,6.16.2,6.16
46,7/5/2008,6.16.2,Registry software upgrade v1.1.3.,6.17,6.16.1
47,7/14/2008,6.17,Version 6.17 release.,6.18,6.16.2
48,8/5/2008,6.17.1,Version 6.17.1 registry interim data release and software upgrade v1.1.4.,6.17.1,6.17
49,11/12/2008,6.18,Version 6.18 release. Access and SQL only.,6.18.1,6.17.1
50,1/20/2009,6.18.1,Version 6.18.1 registry interim data release.,6.18.3,6.18
51,2/10/2009,6.18.3,Version 6.18.3 registry interim data release.,7.1,6.18.1
52,6/2/2009,7.1,"Version 7.1 marks the transition of the master dataset from the Access database to the online Registry. It also marks a change in the version of MS Access in which the database is distributed, from v97 to v2000.",7.1.1,6.18.3
53,6/7/2009,7.1.1,Registry interim release. Registry software v1.2.5 loaded. Change requests 2009.023 and 2009.039 released.,7.1.2,7.1
54,6/30/2009,7.1.2,Version 7.1.2 registry interim data release.,7.1.3,7.1.1
55,7/1/2009,7.1.3,Version 7.1.3 registry interim data release.,7.1.4,7.1.2
56,7/3/2009,7.1.4,Version 7.1.4 registry interim data release.,7.1.5,7.1.3
57,7/4/2009,7.1.5,Version 7.1.5 registry interim data release.,7.1.6,7.1.4
58,7/22/2009,7.1.6,Version 7.1.6 registry interim data release.,7.1.7,7.1.5
59,7/29/2009,7.1.7,Version 7.1.7 registry interim data release.,7.1.8,7.1.6
60,9/5/2009,7.1.8,Version 7.1.8 registry interim data release.,v7.1.9,7.1.7
61,10/29/2009,v7.1.9,Version 7.1.9 registry interim data release.,7.1.10,7.1.8
62,10/30/2009,7.1.10,Registry interim release. Registry software v1.2.6 loaded 2009-10-29. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.11,v7.1.9
63,11/1/2009,7.1.11,Registry interim release. Registry script run. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.12,7.1.10
64,11/12/2009,7.1.12,Registry interim release. Registry software v1.2.7 loaded.,7.2,7.1.11
65,11/24/2009,7.2,Version 7.2 release.,7.3,7.1.12
66,11/25/2009,7.3,Version 7.3 data release.,7.4,7.2
67,11/25/2009,7.4,Version 7.4. Re-release of version 7.2 as export files not generated.,7.4.1,7.3
68,2/1/2010,7.4.1,Version 7.4.1 interim dataset release. No geodetic data changes from v7.4. Made to resolve duplication of latest version release date - see change request 2010.009.,7.4.2,7.4
69,2/13/2010,7.4.2,"Registry interim release. Registry software v1.2.10 loaded. Change requests 2009.104, 2010.007 and 2010.015 released.",7.4.3,7.4.1
70,2/18/2010,7.4.3,"Registry interim data release. Change requests 2010.018, 2010.012, 2010.005, 2009.030, 2009.008 and 2008.098 released.",7.4.4,7.4.2
71,3/1/2010,7.4.4,"Registry interim data release. Change requests 2010.024, 2010.020, 2010.014, 2010.008, 2010.003 and 2009.024 released.",7.4.5,7.4.3
72,3/5/2010,7.4.5,"Registry interim data release. Change requests 2009.031, 2009.105 and 2010.026 released.",7.4.6,7.4.4
73,3/30/2010,7.4.6,Preliminary release for v7.5.,7.4.7,7.4.5
74,3/30/2010,7.4.7,Second preliminary release for v7.5,7.4.8,7.4.6
75,3/31/2010,7.4.8,Third preliminary release for v7.5,7.4.9,7.4.7
76,3/31/2010,7.4.9,Fourth preliminary release for v7.5,7.5,7.4.8
77,3/31/2010,7.5,Version 7.5 release of full Dataset.,7.5.0.1,7.4.9
78,3/31/2010,7.5.0.1,Missing association corrected for v7.5 release.,,7.5
